Category	Item	ShortName	2005	2006	2007	2008	2009	2010	2011
Revenue	Chicago Park District property tax remittances	chicago_park	6966718	6954368	6108327	7011000	6238468	5853762	6276236
Revenue	Government grants	gov_grants	3049672	4567346	3194382	3062113	3790215	4120294	3378905
Revenue	Private grants and contracts	priv_grants	5388605	3423836	2237434	2725561	3356696	2596063	2650573
Revenue	Investment return	investment_revenue	11600000	12500000	13915000	15857000	12000000	14000000	14000000
Revenue	Contributions	contributions	11960416	18706736	12631426	32728999	13997144	10916755	11812227
Revenue	Sponsorships	sponsorships	1261040	445500	1929236	2876377	1486348	1888476	886082
Revenue	Memberships	memberships	2430207	2892709	1908899	2261247	2899777	2714104	2920220
Revenue	Admissions	admissions	10543239	9720693	8756011	9822559	11303831	11126794	11198705
Revenue	Program service fees	program_fees	1733384	2088775	1644483	2524655	2899422	3285550	3242920
Revenue	Business enterprises revenue	bus_enterprises_revenue	10276108	16270265	9536553	10359279	8795634	9636011	10336640
Revenue	Other revenue	other_revenue	808495	1506855	962456	611275	530398	329754	706826
Expenses	Collections and research	collections_research	-15634434	-16557134	-18710648	-20213889	-13405770	-13320735	-12719168
Expenses	"Environment, culture and conservation"	conservation	-5317464	-5016503	-3781902	-3353174	-3855219	-4500828	-4859649
Expenses	Exhibitions	exhibitions	-10135264	-7789075	-10775869	-11577173	-6226348	-7483605	-6782370
Expenses	Education and library	education	-2526238	-2727411	-3361286	-3152997	-2724558	-2832268	-2244610
Expenses	Museum services	museum_services	-15365327	-16505227	-16203369	-16754268	-13416881	-13365346	-12854756
Expenses	Administration	administration	-2050313	-2274930	-2473703	-2714763	-2046123	-2127913	-3340872
Expenses	Institutional advancement	advancement	-3441622	-3937304	-3505474	-4032297	-3185802	-3097493	-3146644
Expenses	Marketing and public relations	marketing	-1431825	-1885658	-3000341	-2522354	-2588689	-3877755	-3160465
Expenses	Business enterprises expenses	bus_enterprises_expenses	-6667531	-7904051	-6158852	-5865272	-5127232	-5522393	-5820728
Expenses	Debt service	debt_service	-6348430	-7004226	-7351536	-6522452	-8631446	-8588853	-8101710
Non-operating	Investment return	investment_return	11329939	26370534	14133513	-113313321	44327004	17918384	-17894010
Non-operating	Government grants for capital improvements	gov_capital_grants	3719469	719154	18008	243666	259482	143772	118244
Non-operating	Private grants and contracts for capital improvements	private_capital_grants	1507566	3700955	1385450	2090366	9222	274150	419712
Non-operating	Campaign contributions and major gifts	gift_revenue	17742175	11635634	5949933	5130289	5408830	3180985	14552067
Non-operating	Campaign and major gift expenses	gift_expenses	-3057580	-2396248	-3423760	-2726366	-1881138	-2110729	-2317103
Non-operating	Proceeds from sales of collection items	collection_sales	15501800	0	750000	0	0	0	3825000
Non-operating	Unrealized loss or gain on interest rate swaps	rate_swaps	-540113	-1077642	-1625156	-17612847	12223219	-3543276	-14231034
Non-operating	Capital grant expense	capital_grants_expenses	0	0	0	-100000	0	0	0
Non-operating	Depreciation	depreciation	0	0	0	0	-11467956	-11576605	-11969570
Non-operating	Pension-related changes other than net periodic pension cost	pension_changes	0	0	-742978	-4015923	1013439	-170831	-1962700
Non-operating	Change of accounting principle in 2005	one_off	-7317062	0	0	0	0	0	0
Net assets	Net assets at beginning of year	net_assets_beginning	335063640	371049270	417477221	421423458	302434377	358416344	364282568
Net assets	Net assets at end of year	net_assets_ending	371049270	417477221	421423458	304250748	358416344	364282568	339201536
Year	Year	year	2005	2006	2007	2008	2009	2010	2011
